Sample	PC1	PC2	PC3	Coverage	Age	Latitude	Longitude	Sex	Site	Species
LORUS2018x25_Rus_m1785	0.0512378	-0.00479217	0.00987295	2.173469404	1835	53.45	48.94	female	site52	horse
LORUS2018x29_Rus_m5406	0.000777977	0.0116798	-0.00555333	1.111381042	5456	50.16	48.53	male	site53	horse
LORUS2018x43_Rus_m1798	0.0500563	-0.00522436	0.00864986	1.74796465	1848	53.09	50.8	female	site55	horse
LORUS2018x44_Rus_m1109	0.0517791	-0.00518568	0.00844271	1.614471067	1159	53.09	50.8	male	site55	horse
LORUS2018x4_Rus_m1844	0.0516553	-0.00495769	0.0106192	0.543357238	1894	53.34	51.87	female	site54	horse
LORUS2018x62_Rus_m1849	0.0562028	-0.00479067	0.012242	18.61603375	1899	52.43	55.23	male	site56	horse
Magor_UK_m1009	0.0503784	-0.00850846	0.00936671	2.320609503	1059	51.58	-2.83	male	site57	horse
Mic2_Mol_m1250	0.0487887	-0.00434286	0.00854407	0.195124399	1300	47.99	27.79	male	site58	horse
Mich_Kaz_m2019	-0.000654158	0.0229937	-0.0136713	1.700032339	2069	52.45	76.79	male	site59	horse
Miciurin05_Mol_m1373	0.052017	-0.0055081	0.0104012	2.204733652	1423	47.99	27.79	female	site58	horse
MOLDA1_Mol_m2063	0.0453083	-0.00714986	0.0074907	2.640994454	2113	48.16	27.17	female	site60	horse
Mon2017x126x1_Mon_m942	0.0518565	-0.00374613	0.00777786	6.204433107	992	49.93	99.8	male	site61	horse
Mon2017x127_Mon_m658	0.0525711	-0.00202432	0.00869208	2.049417032	708	46.4	100.68	male	site62	horse
Mon2017x140x1_Mon_m1116	0.0525796	-0.00294923	0.00897286	4.671845274	1166	49.33	95.44	male	site63	horse
Mon2017x159_Mon_m1136	0.0525018	-0.00301606	0.00885951	8.619246114	1186	51.42	99.36	male	site64	horse
Mon2017x172_Mon_m987	0.0530074	-0.00351319	0.00899752	4.073310516	1037	49.31	99.85	male	site65	horse
